area,type,amin,amax
0,0,100000,450000000
0,FLAT / APARTMENT,230000,12000000
0,SEMI DETACHED DUPLEX,1500000,38800000
0,WAREHOUSE,16800000,16800000
Abule,0,85000000,85000000
Abule,FLAT / APARTMENT,500000,45000000
Adeniyi Jones,0,2000000,20000000
Adeniyi Jones,FLAT / APARTMENT,13000000,13000000
Agege,FLAT / APARTMENT,700000,700000
Aguda,FLAT / APARTMENT,1000000,1500000
Ajah,DETACHED DUPLEX,3600000,55000000
Ajah,FLAT / APARTMENT,250000,1600000
Ajah,SHOP,800000,800000
Ajah,WAREHOUSE,60000000,60000000
Akoka,0,700000,700000
Akoka,FLAT / APARTMENT,500000,1500000
Alagomeji,0,150000,300000
Alausa,0,20000,20000
Alimosho,FLAT / APARTMENT,220000,220000
Amuwo Odofin,TERRACED DUPLEX,1300000,1300000
Anthony Village,0,40000,80000000
Anthony Village,FLAT / APARTMENT,800000,1800000
Bariga,FLAT / APARTMENT,300000,300000
Coker,0,5000000,5000000
Dolphin Estate,DETACHED DUPLEX,7000000,7000000
Ebute Metta,FLAT / APARTMENT,1300000,1300000
Gbagada,DETACHED BUNGALOW,1000000,1000000
Gbagada,DETACHED DUPLEX,3000000,3000000
Gbagada,FLAT / APARTMENT,450000,3800000
Gbagada,SEMI DETACHED DUPLEX,2500000,3000000
Gbagada,TERRACED BUNGALOW,1000000,1000000
Gbagada,TERRACED DUPLEX,65000000,65000000
Ikeja,0,35000,30000000
Ikeja,DETACHED DUPLEX,10000000,15000000
Ikeja,FLAT / APARTMENT,500000,3500000
Ikeja,SHOP,400000,400000
Ikeja,TERRACED DUPLEX,5500000,150000000
Ikeja,WAREHOUSE,67500000,67500000
Ikorodu,0,5000000,5000000
Ikorodu,FLAT / APARTMENT,130000,43000000
Ikoyi,0,2007500,70000000
Ikoyi,DETACHED DUPLEX,7000000,310000000
Ikoyi,FLAT / APARTMENT,40000,220000000
Ikoyi,SEMI DETACHED DUPLEX,5000000,20000000
Ikoyi,TERRACED DUPLEX,4000000,200000000
Iwaya,FLAT / APARTMENT,1500000,1500000
Iyana Ipaja,FLAT / APARTMENT,350000,350000
Ketu,FLAT / APARTMENT,750000,750000
Kosofe,DETACHED DUPLEX,4500000,5000000
Kosofe,FLAT / APARTMENT,600000,4000000
Kosofe,TERRACED DUPLEX,2500000,5000000
Ladipo,FLAT / APARTMENT,2500000,2500000
Ladipo,SEMI DETACHED DUPLEX,2200000,2200000
Ladipo,WAREHOUSE,30000000,67500000
Lagos Mainland,0,400000,1200000
Lagos Mainland,FLAT / APARTMENT,120000,2000000
Lagos Mainland,TERRACED DUPLEX,1500000,1500000
Lawanson,FLAT / APARTMENT,450000,750000
Lekki,0,50000,45000000
Lekki,DETACHED BUNGALOW,4500000,12000000
Lekki,DETACHED DUPLEX,3000000,320000000
Lekki,FLAT / APARTMENT,50000,120000000
Lekki,SEMI DETACHED DUPLEX,2500000,80000000
Lekki,SHOP,800000,3500000
Lekki,TERRACED DUPLEX,2300000,120000000
Maryland,0,1000000,1500000
Maryland,DETACHED DUPLEX,8000000,8000000
Maryland,FLAT / APARTMENT,650000,3000000
Mushin,FLAT / APARTMENT,800000,800000
Ogba,0,1000000,1000000
Ogba,FLAT / APARTMENT,120000,1000000
Ogudu,FLAT / APARTMENT,450000,1800000
Ogudu,TERRACED DUPLEX,3200000,3200000
Ojo,DETACHED DUPLEX,6000000,6500000
Ojo,FLAT / APARTMENT,650000,2200000
Ojo,SEMI DETACHED DUPLEX,4000000,4000000
Ojuelegba,FLAT / APARTMENT,1000000,1300000
Onipanu,0,400000,400000
Oniru,0,1200000,4500000
Oniru,DETACHED DUPLEX,5000000,5500000
Oniru,FLAT / APARTMENT,1800000,7500000
Oniru,SEMI DETACHED DUPLEX,5000000,8000000
Oniru,TERRACED DUPLEX,4300000,7500000
Sabo,DETACHED DUPLEX,4000000,4000000
Sabo,FLAT / APARTMENT,500000,1500000
Shomolu,0,1500000,1500000
Shomolu,FLAT / APARTMENT,400000,2700000
Surulere,0,5500000,7500000
Surulere,FLAT / APARTMENT,550000,2500000
Surulere,SEMI DETACHED DUPLEX,3000000,3000000
Surulere,SHOP,2000000,2000000
Surulere,TERRACED DUPLEX,2500000,67000000
Victoria Island,0,45000,45000000
Victoria Island,DETACHED BUNGALOW,35000000,35000000
Victoria Island,DETACHED DUPLEX,9000000,40000000
Victoria Island,FLAT / APARTMENT,25000,36000000
Victoria Island,SEMI DETACHED DUPLEX,15000000,15000000
Victoria Island,TERRACED DUPLEX,10000000,10000000
Yaba,DETACHED DUPLEX,5000000,5000000
Yaba,FLAT / APARTMENT,500000,2500000
